"Set"	"N"	"Sim"	"HR"	"MAP"	"SV"	"CVP"	"SAP"	"DAP"	"Grav"	"CO"	"PP"
"1"	3	64	65.697422	100.209589	86.445837	7.481897	125.433674	73.223268	"1"	5.67926863353221	52.210406
"1"	3	65	66.252037	99.389623	81.050981	6.896103	121.721917	75.278964	"1"	5.3697925920983	46.442953
"1"	3	66	65.234462	100.285345	87.946063	7.371813	122.608639	76.38582	"1"	5.7371141048231	46.222819
"1"	3	67	65.452565	100.211562	87.044169	7.2812	123.618449	75.199091	"1"	5.69726412934349	48.419358
"1"	3	68	64.687157	101.091526	92.28232	7.496508	126.375968	74.195522	"1"	5.96948092216424	52.180446
"1"	3	69	65.322873	100.107612	85.578261	7.18944	122.037854	77.155464	"1"	5.59021787486385	44.88239
"1"	3	70	65.003677	100.665887	89.247915	7.456932	124.902187	74.577078	"1"	5.80144263958346	50.325109
"1"	3	71	66.009035	99.394998	83.588499	6.689734	119.538966	77.224316	"1"	5.51759615608846	42.31465
"1"	3	72	65.814119	99.970527	85.655785	7.116279	124.389486	74.140488	"1"	5.63736002702842	50.248998
"1"	3	73	64.75968	101.203329	91.76782	7.682432	127.778875	73.681345	"1"	5.9428546574976	54.09753
"1"	3	74	64.880529	101.076115	90.086009	7.092458	127.231285	73.616631	"1"	5.84482791941876	53.614654
"1"	3	75	65.862855	99.638611	84.237436	6.735549	121.281581	76.360328	"1"	5.54811803283978	44.921253
"1"	3	76	64.960525	100.558423	89.459034	7.560579	123.61311	75.682991	"1"	5.81130581463285	47.930119
"1"	3	77	65.662124	100.111016	84.291996	7.052539	124.543233	73.671178	"1"	5.5347914935595	50.872055
"1"	3	78	66.11806	99.399047	81.167347	7.007071	121.109274	76.169443	"1"	5.36662751898682	44.939831
"1"	3	79	65.477984	100.067972	86.827006	7.255561	122.59134	76.260178	"1"	5.6852573096359	46.331162
"1"	3	80	64.874334	100.95386	92.799077	7.402615	125.606361	74.433637	"1"	6.02027831618972	51.172724
"1"	3	81	65.7388	100.667575	86.658132	7.063454	129.866438	69.986734	"1"	5.6968016079216	59.879704
"1"	3	82	65.676421	99.830593	84.591523	6.945803	121.567685	76.5672	"1"	5.55566847757918	45.000485
"1"	3	83	65.368522	100.817383	87.024646	7.027666	128.862039	71.949329	"1"	5.68867248659321	56.91271
"1"	3	84	65.172134	100.538021	88.077344	7.638426	125.277248	74.830028	"1"	5.7401884655321	50.44722
"1"	3	85	65.284571	100.492154	88.134051	7.010849	125.103389	74.2778	"1"	5.75379371002712	50.825589
"1"	3	86	65.900658	100.056113	85.724983	6.798131	125.450587	72.943234	"1"	5.64933278673881	52.507353
"1"	3	87	65.927829	99.792879	83.788251	7.027719	123.438136	74.443174	"1"	5.52397748413708	48.994962
"1"	3	88	66.075968	99.55725	83.447408	6.889735	121.538736	75.320532	"1"	5.51386826069094	46.218204
"1"	3	89	65.920038	99.401802	84.811645	6.949648	118.712156	78.053506	"1"	5.59078686124251	40.65865
"1"	3	90	66.113442	99.687818	83.710832	7.132553	123.634714	74.053448	"1"	5.53441123620374	49.581266
"1"	3	91	66.393477	98.978428	80.518226	7.105275	118.095731	78.21982	"1"	5.3458849860118	39.875911
